,OBJECTID_x,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10_x,ACRES_TOTAL,WATER,SHAPE_Length,SHAPE_Area,OBJECTID_y,NAMELSAD10_y,ACRES_LAND,ACRES_WATER,TOTAL_POPULATION,MEDIAN_AGE,NOT_HISPANIC_LATINO_WHITE_ONE,PCT_NOTHISP_WHITE_ONE,NOTHISPLATINO_BLKAFRCNAMER_ONE,PCT_NOTHISP_BLACK_ONE,NOTHISPLATINO_AMINDALSKNTV_ONE,PCT_NOTHISP_AMIAK_ONE,NOTHISPLATINO_ASIAN_ONE,PCT_NOTHISP_ASIAN_ONE,NOTHISPLATINO_NHAWAIIOTHPI_ONE,PCT_NOTHISP_PI_ONE,NOTHISPLATINO_SOME_OTHER_ONE,PCT_NOTHISP_OTHER_ONE,NOTHISPLATINO_TWO_OR_MORE_RACE,PCT_NOTHISP_TWO_ONE,HISPANIC_OR_LATINO_OF_ANY_RACE,PCT_HISP_ANY_RACE,POPULATION_IN_HOUSEHOLDS,PCT_POP_IN_HH,POPULATION_IN_GQ,PCT_POP_IN_GQ,HOUSEHOLDS,FAMILY_HOUSEHOLDS,PCT_FAM_HH,NONFAMILY_HOUSEHOLDS,PCT_NON_FAM_HH,AVERAGE_HOUSEHOLD_SIZE,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,PCT_OCC_HU,VACANT_HOUSING_UNITS,PCT_VACANT_HU,OWNER_OCCUPIED_HOUSING_UNITS,PCT_OWN_OCC_HU,RENTER_OCCUPIED_HOUSING_UNITS,PCT_RENT_OCC_HU,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE,PCNT_HIGHSCHOOL_GRAD_OR_HIGHER,PCT_BACHELOR_DEGREE_OR_HIGHER,POPULATION_5_YEARS_AND_OVER,SPEAK_ENGLISH_LESSTHANVERYWELL,PCT_SP_ENG_LESS_THAN_VERYWELL,MEDIAN_HH_INC_PAST_12MO_DOLLAR,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,POPULATION_UNDER_18,SPEAK_LANGUAGE_OTHTHAN_ENGLISH,PCT_SPEAK_OTH_THAN_ENGLISH,PCT_POP_UNDER_18,PCT_PERSON_OF_COLOR,HU_VALUE_LESS_THAN_50_000,HU_VALUE_50_000_TO_99_999,HU_VALUE_100_000_TO_149_999,HU_VALUE_150_000_TO_199_999,HU_VALUE_200_000_TO_299_999,HU_VALUE_300_000_TO_499_999,HU_VALUE_500_000_TO_999_999,HU_VALUE_1_000_000_OR_MORE,HU_VALUE_MEDIAN_DOLLARS,WITH_MORTGAGE_SMOCAPI_COMPUTED,WITH_MORTGAGE_SMOCAPI_LESS_20,WITHMORTGAGESMOCAPI_20_TO_24_9,WITHMORTGAGESMOCAPI_25_TO_29_9,WITHMORTGAGESMOCAPI_30_TO_34_9,WITHMORTGAGESMOCAPI_35_OR_MORE,WITHMORTGAGESMOCAPINOTCOMPUTED,MEDIAN_GROSS_RENT,RENT_GRAPI_COMPUTED,GRAPI_LESS_THAN_15_0,GRAPI_15_0_TO_19_9,GRAPI_20_0_TO_24_9,GRAPI_25_0_TO_29_9,GRAPI_30_0_TO_34_9,GRAPI_35_0_OR_MORE,GRAPI_NOT_COMPUTED,CIVILIAN_LABOR_FORCE,CIVILIAN_LABOR_FORCE_EMPLOYED,CIVILIAN_LABOR_FORCE_UNEMPLOYD,NOT_IN_LABOR_FORCE,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,POP_DENSITY_ACRE,HU_DENSITY_ACRE,HH_DENSITY_ACRE,SHAPEAREA,SHAPELEN,PERCENT_GRAPI_35_OR_MORE,PERC_SMOCAPI_W_MORT_35_OR_MORE,income_quintile
20,23,1702,1702,53033001702,17.02,Census Tract 17.02,316.32914589999996,0,17476.4063853691,13779297.595404599,8,Census Tract 17.02,316.33041122,0.0,4832,37.3,3615,74.8,73,1.5,34,0.7,468,9.7,0,0.0,0,0.0,344,7.1,298,6.2,4690,97.1,142,2.9,2274,1003,44.1,1271,55.9,2.06,2345,2274,97.0,71,3.0,1326,58.3,948,41.7,376,1607,96.5,57.9,4548,298,6.6,69177,12.4,3.1,4718,1282,27.2,1217,670,859,18.9,13.9,25.2,22,13,0,0,89,734,433,35,409300.0,1102,319,302,120,85,276,0,1407.0,922,17,104,169,134,78,420,26,3015,2880,135,1208,122,146,171,87,268,471,294,409,190,116,4.5,15.28,7.41,7.19,0,0,45.6,25.0,fourth
21,24,1600,1600,53033001600,16.0,Census Tract 16,476.74837007,0,23530.6245099134,20767159.0001228,3,Census Tract 16,476.75029208,113.10433368,4603,43.9,3810,82.8,42,0.9,12,0.3,295,6.4,0,0.0,9,0.2,301,6.5,134,2.9,4566,99.2,37,0.8,1858,1205,64.9,653,35.1,2.46,1932,1858,96.2,74,3.8,1507,81.1,351,18.9,285,1225,99.5,67.1,4288,84,2.0,117250,6.4,6.4,4594,555,12.1,793,951,353,8.2,20.7,17.2,7,0,0,0,18,311,799,372,759200.0,1049,504,158,59,59,269,9,1710.0,334,32,4,76,67,48,107,17,2634,2534,100,1086,43,45,114,89,77,272,161,328,217,512,3.8,9.65,4.05,3.9,0,0,32.0,25.6,top
22,26,1500,1500,53033001500,15.0,Census Tract 15,283.17318415,0,13808.8375719678,12335023.9016665,2,Census Tract 15,283.17432392,98.46803485,2548,46.3,2269,89.1,0,0.0,7,0.3,152,6.0,0,0.0,0,0.0,70,2.7,50,2.0,2548,100.0,0,0.0,1118,643,57.5,475,42.5,2.28,1175,1118,95.1,57,4.9,841,75.2,277,24.8,141,836,98.7,65.9,2422,63,2.6,96019,5.6,2.5,2548,226,8.9,279,453,250,10.3,17.8,10.9,9,8,16,0,0,175,529,104,710000.0,594,247,132,29,49,137,0,1343.0,268,29,60,74,53,8,44,9,1498,1460,38,644,36,18,29,46,57,183,219,199,96,235,2.5,9.0,4.15,3.95,0,0,16.4,23.1,second
23,29,200,200,53033000200,2.0,Census Tract 2,812.00794875,0,24111.6882665987,35371066.24747971,29,Census Tract 2,812.01119692,0.0,7973,40.0,5043,63.3,345,4.3,104,1.3,1306,16.4,0,0.0,31,0.4,539,6.8,605,7.6,7885,98.9,88,1.1,3654,1995,54.6,1659,45.4,2.16,3849,3654,94.9,195,5.1,2067,56.6,1587,43.4,783,2105,93.3,56.9,7583,886,11.7,67397,9.1,6.2,7949,1825,23.0,2930,1200,2242,29.6,15.1,36.7,46,18,0,88,260,1290,365,0,384100.0,1383,528,249,257,127,222,0,1382.0,1555,116,34,233,165,217,790,32,4647,4369,278,2251,179,93,279,223,391,954,479,662,236,158,6.0,9.82,4.74,4.5,0,0,50.8,16.1,fourth
24,65,2700,2700,53033002700,27.0,Census Tract 27,393.80500868,0,24129.0791720348,17154146.178023998,14,Census Tract 27,393.80658389999996,0.0,6155,34.4,4566,74.2,88,1.4,1,0.0,686,11.1,0,0.0,11,0.2,480,7.8,323,5.2,6150,99.9,5,0.1,2462,1235,50.2,1227,49.8,2.5,2506,2462,98.2,44,1.8,1673,68.0,789,32.0,275,1786,96.9,75.4,5657,212,3.7,121807,7.7,2.3,6139,774,12.6,1589,935,747,13.2,15.2,25.8,0,0,0,12,97,322,1067,175,644600.0,1246,641,140,167,58,240,0,2149.0,706,55,203,105,138,63,142,83,3922,3861,61,1309,103,29,72,114,153,286,189,554,303,659,1.6,15.63,6.36,6.25,0,0,20.1,19.3,top
25,66,2200,2200,53033002200,22.0,Census Tract 22,683.24215103,0,29647.227569347597,29762028.098790698,44,Census Tract 22,683.3448939,0.0,5764,42.5,4465,77.5,5,0.1,1,0.0,707,12.3,13,0.2,0,0.0,333,5.8,240,4.2,5706,99.0,58,1.0,2306,1702,73.8,604,26.2,2.47,2432,2306,94.8,126,5.2,1939,84.1,367,15.9,277,1223,99.7,76.6,5412,210,3.9,144318,2.4,0.8,5697,402,7.1,1299,1200,833,15.4,20.8,22.5,13,0,0,0,44,346,1119,417,719200.0,1201,467,349,47,94,244,0,1864.0,367,28,121,15,40,0,163,0,3158,3034,124,1504,0,43,44,100,273,219,121,356,270,880,3.9,8.43,3.56,3.37,0,0,44.4,20.3,top
26,67,2400,2400,53033002400,24.0,Census Tract 24,241.67956487,0,13847.810256731202,10527561.845922,41,Census Tract 24,241.68053160000002,0.0,3180,42.0,2585,81.3,11,0.3,0,0.0,278,8.7,8,0.3,15,0.5,201,6.3,82,2.6,3180,100.0,0,0.0,1309,901,68.8,408,31.2,2.43,1342,1309,97.5,33,2.5,918,70.1,391,29.9,55,841,97.9,73.9,3048,89,2.9,109402,5.2,2.9,3172,397,12.5,595,749,402,13.2,23.6,18.7,8,0,17,9,8,308,560,8,571700.0,663,307,118,80,26,132,0,1534.0,383,50,93,49,40,35,116,8,1873,1765,108,661,34,8,32,87,124,165,123,303,162,271,5.8,13.16,5.55,5.42,0,0,30.3,19.9,top
27,68,2000,2000,53033002000,20.0,Census Tract 20,279.6981736,0,15511.7436966403,12183652.442207199,33,Census Tract 20,272.61231007,7.08698233,3814,36.1,3160,82.9,4,0.1,3,0.1,340,8.9,0,0.0,6,0.2,186,4.9,115,3.0,3790,99.4,24,0.6,1668,859,51.5,809,48.5,2.27,1701,1668,98.1,33,1.9,1020,61.2,648,38.8,240,1028,98.6,60.5,3529,110,3.1,95469,9.1,3.5,3814,719,18.9,654,631,412,11.7,16.5,17.1,28,0,20,8,76,445,420,23,474600.0,711,361,112,44,72,122,12,1609.0,618,76,75,53,48,55,311,30,2364,2264,100,870,82,51,114,121,144,150,248,270,235,253,4.2,13.99,6.24,6.12,0,0,50.3,17.2,second
28,69,2100,2100,53033002100,21.0,Census Tract 21,337.39104098,0,16139.9210115859,14696753.744960502,38,Census Tract 21,337.39239055,0.0,4210,38.9,3244,77.1,15,0.4,0,0.0,621,14.8,0,0.0,14,0.3,110,2.6,206,4.9,4166,99.0,44,1.0,1782,1011,56.7,771,43.3,2.34,1893,1782,94.1,111,5.9,1151,64.6,631,35.4,304,1137,97.2,66.9,3975,182,4.6,95515,8.9,5.0,4186,640,15.3,966,817,632,15.9,19.4,22.9,40,0,21,47,104,320,609,10,526100.0,775,504,101,54,53,63,8,1441.0,590,53,120,115,61,56,185,41,2595,2486,109,854,96,69,34,79,164,242,250,288,286,274,4.2,12.48,5.61,5.28,0,0,31.4,8.1,second
29,70,1900,1900,53033001900,19.0,Census Tract 19,410.97098497,0,21117.7835030534,17901896.105190698,26,Census Tract 19,410.97262886,0.0,4777,35.5,3444,72.1,112,2.3,8,0.2,783,16.4,13,0.3,0,0.0,215,4.5,202,4.2,4671,97.8,106,2.2,2264,1024,45.2,1240,54.8,2.06,2310,2264,98.0,46,2.0,1322,58.4,942,41.6,264,1324,94.5,60.8,4613,348,7.5,75652,11.8,4.5,4762,1015,21.3,1333,696,904,19.6,14.6,27.9,18,0,47,198,143,484,423,9,421000.0,958,349,198,92,83,236,7,1791.0,842,51,134,115,110,95,337,100,3086,2833,253,1099,176,25,158,97,258,406,327,386,237,194,8.2,11.62,5.62,5.51,0,0,40.0,24.6,middle
30,71,1800,1800,53033001800,18.0,Census Tract 18,232.99785609,0,14099.4819625573,10149386.611064501,12,Census Tract 18,232.99878808,0.0,5380,31.4,3620,67.3,34,0.6,0,0.0,759,14.1,13,0.2,4,0.1,481,8.9,469,8.7,5371,99.8,9,0.2,2289,964,42.1,1325,57.9,2.35,2389,2289,95.8,100,4.2,1127,49.2,1162,50.8,194,1669,95.0,64.7,5046,412,8.2,89260,13.2,3.2,5349,1502,28.1,1760,723,1211,24.0,13.4,32.7,0,11,17,0,55,700,329,15,439000.0,957,415,175,80,79,208,28,1433.0,1114,109,266,268,168,87,216,48,4009,3788,221,699,117,38,96,155,109,371,335,709,263,96,5.5,23.09,10.25,9.82,0,0,19.4,21.7,middle
31,72,900,900,53033000900,9.0,Census Tract 9,234.72353208,0,21457.1378410922,10224557.0572546,46,Census Tract 9,234.82329796,625.50007487,1972,50.4,1549,78.5,22,1.1,30,1.5,216,11.0,14,0.7,11,0.6,58,2.9,72,3.7,1946,98.7,26,1.3,868,538,62.0,330,38.0,2.24,942,868,92.1,74,7.9,726,83.6,142,16.4,107,508,99.0,72.9,1883,65,3.5,135625,4.1,0.0,1956,170,8.7,423,353,210,11.2,17.9,21.5,0,0,6,7,22,85,400,206,722500.0,449,203,96,20,19,111,10,2038.0,135,7,28,12,34,9,45,7,1112,1071,41,540,25,7,21,43,80,52,97,159,99,285,3.7,8.4,4.01,3.7,0,0,33.3,24.7,top
32,73,1300,1300,53033001300,13.0,Census Tract 13,292.55118422,0,15034.470142111799,12743529.5847743,13,Census Tract 13,292.55235443,0.0,4468,37.0,2487,55.7,159,3.6,0,0.0,1039,23.3,0,0.0,0,0.0,271,6.1,512,11.5,4460,99.8,8,0.2,2263,1012,44.7,1251,55.3,1.97,2406,2263,94.1,143,5.9,1090,48.2,1173,51.8,526,1122,92.5,53.5,4199,483,11.5,70764,7.9,1.3,4468,852,19.1,1981,509,1090,26.0,11.4,44.3,13,0,60,26,206,410,337,38,414600.0,943,441,160,92,66,184,0,1166.0,1129,120,152,134,134,107,482,44,2969,2901,68,1001,147,145,157,183,216,332,303,331,151,298,2.3,15.27,8.22,7.74,0,0,42.7,19.5,fourth
33,74,1100,1100,53033001100,11.0,Census Tract 11,262.01774748,0,14316.885374521498,11413493.080341099,35,Census Tract 11,262.01879556,0.0,2791,37.9,2019,72.3,8,0.3,0,0.0,428,15.3,0,0.0,16,0.6,120,4.3,200,7.2,2786,99.8,5,0.2,1092,685,62.7,407,37.3,2.55,1140,1092,95.8,48,4.2,793,72.6,299,27.4,251,661,95.7,61.6,2640,184,7.0,78542,10.3,3.2,2791,388,13.9,772,508,627,23.8,18.2,27.7,0,0,0,0,25,442,326,0,464800.0,567,135,151,15,81,185,0,1476.0,289,49,0,33,22,87,98,10,1656,1610,46,676,27,42,23,45,140,243,119,209,162,82,2.8,10.65,4.35,4.17,0,0,33.9,32.6,middle
34,75,1000,1000,53033001000,10.0,Census Tract 10,235.83566539,0,13304.724425748898,10273001.5844364,39,Census Tract 10,235.83660874,0.0,1982,38.2,1323,66.8,254,12.8,0,0.0,237,12.0,0,0.0,6,0.3,83,4.2,79,4.0,1956,98.7,26,1.3,765,474,62.0,291,38.0,2.56,792,765,96.6,27,3.4,496,64.8,269,35.2,114,408,97.7,66.6,1854,113,6.1,103750,15.2,11.4,1982,560,28.3,659,457,343,18.5,23.1,33.2,0,0,0,6,25,208,234,23,510700.0,325,124,50,38,29,84,0,1321.0,259,62,34,21,33,14,95,10,1109,1014,95,430,36,11,65,82,18,104,64,183,113,89,8.6,8.4,3.36,3.24,0,0,36.7,25.8,second
35,76,1200,1200,53033001200,12.0,Census Tract 12,453.17223874,0,20845.2028120641,19740182.7195343,27,Census Tract 12,453.17405144,0.0,7024,34.8,4167,59.3,433,6.2,0,0.0,1201,17.1,0,0.0,0,0.0,520,7.4,703,10.0,6916,98.5,108,1.5,3781,1262,33.4,2519,66.6,1.83,3882,3781,97.4,101,2.6,936,24.8,2845,75.2,599,1551,91.8,47.5,6647,1117,16.8,46358,21.2,18.1,6965,2798,40.2,2857,1034,2012,30.3,14.7,40.7,29,51,37,102,160,306,251,0,363100.0,710,213,113,132,117,135,0,1183.0,2456,208,300,192,339,199,1218,389,3803,3481,322,2324,435,415,548,188,462,570,391,446,223,103,8.5,15.5,8.57,8.34,0,0,49.6,19.0,bottom
36,77,800,800,53033000800,8.0,Census Tract 8,282.07307061,0,15396.722147055,12287102.9559754,43,Census Tract 8,282.07419891,0.0,2582,43.5,2109,81.7,80,3.1,0,0.0,229,8.9,0,0.0,0,0.0,163,6.3,1,0.0,2506,97.1,76,2.9,1067,716,67.1,351,32.9,2.35,1128,1067,94.6,61,5.4,740,69.4,327,30.6,106,510,98.1,66.5,2425,65,2.7,97344,9.0,6.0,2520,326,12.9,473,542,315,13.0,21.0,18.3,10,0,0,0,57,395,278,0,465800.0,455,203,112,56,12,72,0,1788.0,317,0,67,32,27,36,155,10,1515,1477,38,577,54,18,61,32,71,155,164,219,104,189,2.5,9.15,4.0,3.78,0,0,48.9,15.8,second
37,78,600,600,53033000600,6.0,Census Tract 6,948.31318595,0,31707.387154506698,41308522.379812606,15,Census Tract 6,934.91818414,13.39879507,8061,36.4,5049,62.6,825,10.2,66,0.8,927,11.5,0,0.0,0,0.0,354,4.4,840,10.4,7989,99.1,72,0.9,3413,1698,49.8,1715,50.2,2.34,3635,3413,93.9,222,6.1,1747,51.2,1666,48.8,910,1617,93.8,50.5,7544,940,12.5,61536,14.6,11.2,8039,2559,31.8,3012,1628,1978,26.2,20.2,37.4,89,0,0,14,227,768,649,0,447500.0,1205,419,127,169,119,371,0,1304.0,1636,212,267,248,186,123,600,30,4777,4631,146,1753,136,124,293,240,498,642,457,551,354,118,3.1,8.62,3.89,3.65,0,0,36.7,30.8,fourth
38,79,700,700,53033000700,7.0,Census Tract 7,319.89860374,0,16213.540329213998,13934783.1790625,34,Census Tract 7,319.89988334,0.0,4854,35.5,2559,52.7,637,13.1,16,0.3,849,17.5,112,2.3,59,1.2,170,3.5,452,9.3,4830,99.5,24,0.5,2222,1151,51.8,1071,48.2,2.17,2409,2222,92.2,187,7.8,1135,51.1,1087,48.9,588,956,92.5,45.5,4539,704,15.5,52957,17.5,14.4,4844,1288,26.6,2295,742,1591,35.1,15.3,47.3,0,19,35,154,234,461,232,0,342000.0,761,232,115,136,47,231,22,1165.0,1037,86,108,179,127,104,433,50,2985,2910,75,1172,182,76,228,137,410,382,328,279,89,111,2.5,15.17,7.53,6.95,0,0,41.8,30.4,bottom
39,80,100,100,53033000100,1.0,Census Tract 1,456.92702921,0,19590.483436076298,19903741.392295603,42,Census Tract 1,457.19506278,367.28557726,7963,35.6,4297,54.0,1110,13.9,24,0.3,1046,13.1,91,1.1,0,0.0,478,6.0,917,11.5,7927,99.5,36,0.5,3779,1732,45.8,2047,54.2,2.1,4030,3779,93.8,251,6.2,1101,29.1,2678,70.9,1072,1600,90.9,47.6,7587,1319,17.4,50030,15.9,8.1,7926,2834,35.8,3666,1419,2963,39.1,17.8,46.0,15,0,48,13,63,372,451,139,525300.0,711,360,106,100,51,94,0,1131.0,2559,137,218,375,298,292,1239,119,4482,4172,310,2181,428,230,509,254,467,569,461,397,214,250,6.9,17.42,8.81,8.27,0,0,48.4,13.2,bottom
40,81,300,300,53033000300,3.0,Census Tract 3,299.10185078,0,17267.9744895651,13028876.619865302,23,Census Tract 3,299.10305257,0.0,2822,36.4,2080,73.7,122,4.3,0,0.0,314,11.1,30,1.1,0,0.0,131,4.6,145,5.1,2807,99.5,15,0.5,1187,640,53.9,547,46.1,2.36,1212,1187,97.9,25,2.1,700,59.0,487,41.0,407,571,90.1,37.4,2704,151,5.6,73098,14.1,11.7,2813,587,20.9,742,507,358,13.2,18.0,26.3,17,0,0,0,121,397,137,28,397700.0,480,180,59,93,46,102,0,1226.0,462,53,32,74,116,35,152,25,1733,1690,43,599,49,101,51,91,113,206,140,228,95,113,2.5,9.43,4.05,3.97,0,0,32.9,21.2,fourth
41,82,4100,4100,53033004100,41.0,Census Tract 41,787.83067595,0,35293.1619894961,34317904.2443924,103,Census Tract 41,788.08855723,1397.30704505,7920,39.3,6477,81.8,8,0.1,0,0.0,974,12.3,16,0.2,0,0.0,328,4.1,117,1.5,7889,99.6,31,0.4,2879,2151,74.7,728,25.3,2.74,3024,2879,95.2,145,4.8,1992,69.2,887,30.8,168,2155,98.0,87.4,7453,411,5.5,168415,7.0,2.1,7882,953,12.1,1443,2070,1253,16.8,26.1,18.2,0,0,23,0,12,35,697,1225,1123700.0,1369,651,196,87,58,377,0,1654.0,808,203,104,106,104,22,269,79,3723,3579,144,2336,158,28,92,109,101,258,151,371,393,1218,3.9,10.05,3.84,3.65,0,0,33.3,27.5,top
42,83,5200,5200,53033005200,52.0,Census Tract 52,238.39255452,0,14181.3842712654,10384379.674889699,83,Census Tract 52,238.39351000000002,0.0,7041,23.8,3862,54.9,67,1.0,0,0.0,2355,33.4,19,0.3,69,1.0,428,6.1,241,3.4,6970,99.0,71,1.0,2959,747,25.2,2212,74.8,2.36,3265,2959,90.6,306,9.4,511,17.3,2448,82.7,114,1088,98.9,71.6,6837,686,10.0,41847,39.0,8.7,7000,3548,50.7,3179,495,2608,38.1,7.0,45.1,0,0,0,0,87,119,292,13,555200.0,262,102,94,18,0,48,0,1483.0,2203,297,176,227,135,219,1149,245,4215,3977,238,2380,837,97,185,211,397,368,156,343,114,251,5.6,29.54,13.7,12.41,0,0,52.2,18.3,bottom
43,84,5100,5100,53033005100,51.0,Census Tract 51,217.86364678,0,13462.590730929,9490140.45375687,79,Census Tract 51,217.86451824,0.0,3678,38.5,3041,82.7,29,0.8,5,0.1,222,6.0,0,0.0,39,1.1,120,3.3,222,6.0,3678,100.0,0,0.0,1655,911,55.0,744,45.0,2.22,1796,1655,92.1,141,7.9,1055,63.7,600,36.3,179,1037,98.1,77.4,3487,123,3.5,105580,8.2,7.7,3678,477,13.0,637,722,444,12.7,19.6,17.3,7,16,7,7,19,144,707,148,685200.0,770,313,176,66,66,149,7,1620.0,550,59,121,58,54,54,204,50,2318,2235,83,696,95,10,57,87,136,203,195,344,215,313,3.6,16.88,8.24,7.6,0,0,37.1,19.4,second
44,85,5301,5301,53033005301,53.01,Census Tract 53.01,134.28972565,0,11330.922474770201,5849660.44940785,85,Census Tract 53.01,134.29026281,0.0,7792,21.9,3726,47.8,200,2.6,184,2.4,2560,32.9,30,0.4,37,0.5,742,9.5,313,4.0,5176,66.4,2616,33.6,2864,258,9.0,2606,91.0,1.81,3205,2864,89.4,341,10.6,58,2.0,2806,98.0,134,479,94.0,55.8,7759,1276,16.4,20401,58.7,27.1,5335,4052,76.0,4066,149,3101,40.0,1.9,52.2,0,18,27,13,0,0,0,0,121200.0,0,0,0,0,0,0,0,1226.0,2426,131,89,56,292,190,1668,380,4002,3472,530,3691,992,309,353,237,405,258,152,129,15,14,13.2,58.02,23.87,21.33,0,0,68.8,0.0,bottom
45,86,5000,5000,53033005000,50.0,Census Tract 50,187.14268528,0,11560.147917042099,8151935.37096246,75,Census Tract 50,187.14343386,0.0,4194,30.9,3335,79.5,62,1.5,14,0.3,308,7.3,29,0.7,0,0.0,225,5.4,221,5.3,4194,100.0,0,0.0,2061,794,38.5,1267,61.5,2.03,2238,2061,92.1,177,7.9,507,24.6,1554,75.4,132,1348,98.4,74.0,4058,88,2.2,79980,5.5,0.0,4194,724,17.3,859,551,646,15.9,13.1,20.5,0,0,0,0,12,66,395,34,659000.0,456,206,120,12,35,83,0,1530.0,1554,171,324,236,145,158,520,0,3008,2902,106,774,78,48,124,109,281,301,259,507,143,211,3.5,22.41,11.96,11.01,0,0,33.5,18.2,middle
46,87,4200,4200,53033004200,42.0,Census Tract 42,608.83259931,0,23930.3293406803,26520748.0260207,101,Census Tract 42,608.83503465,0.0,8458,39.5,6696,79.2,153,1.8,1,0.0,826,9.8,89,1.1,38,0.4,195,2.3,460,5.4,8449,99.9,9,0.1,3331,2157,64.8,1174,35.2,2.54,3427,3331,97.2,96,2.8,2579,77.4,752,22.6,196,2217,98.2,78.5,7805,304,3.9,129226,4.5,1.0,8438,1074,12.7,1762,1934,1216,15.6,22.9,20.8,15,0,15,15,55,482,1668,329,689600.0,1742,795,253,230,151,313,0,1841.0,707,70,130,119,43,54,291,45,4902,4752,150,1825,73,53,31,104,155,403,493,580,476,963,3.1,13.89,5.63,5.47,0,0,41.2,18.0,top
47,88,4301,4301,53033004301,43.01,Census Tract 43.01,241.99065289,0,17201.370927238302,10541112.839949198,97,Census Tract 43.01,241.99162086,0.0,3644,32.8,2591,71.1,54,1.5,0,0.0,561,15.4,0,0.0,102,2.8,188,5.2,148,4.1,3588,98.5,56,1.5,1450,716,49.4,734,50.6,2.47,1549,1450,93.6,99,6.4,774,53.4,676,46.6,113,817,98.4,73.4,3462,128,3.7,85357,20.9,8.0,3601,1290,35.8,1053,632,655,18.9,17.3,28.9,0,0,0,0,18,137,584,35,681800.0,498,250,105,63,0,80,0,1310.0,663,25,115,73,37,76,337,13,1955,1881,74,1080,100,51,120,134,121,148,108,278,95,295,3.8,15.06,6.4,5.99,0,0,50.8,16.1,middle
48,89,4302,4302,53033004302,43.02,Census Tract 43.02,81.71674016,0,8012.1772401786,3559581.20135958,96,Census Tract 43.02,81.71706703,0.0,3854,22.0,2174,56.4,112,2.9,8,0.2,1200,31.1,0,0.0,0,0.0,250,6.5,110,2.9,2917,75.7,937,24.3,1511,231,15.3,1280,84.7,1.93,1710,1511,88.4,199,11.6,113,7.5,1398,92.5,81,368,96.9,71.0,3817,633,16.6,26886,50.2,12.6,2935,1894,64.5,1680,118,1465,38.4,3.1,43.6,9,0,0,0,47,10,29,18,,68,20,0,17,0,31,0,1132.0,1224,141,74,122,47,132,708,174,1958,1700,258,1812,424,177,113,134,182,263,77,83,50,8,13.2,47.16,20.93,18.49,0,0,57.8,45.6,bottom
49,90,4000,4000,53033004000,40.0,Census Tract 40,613.49153564,0,28199.5746102572,26723691.2923405,105,Census Tract 40,612.3556628,959.20501928,3198,38.1,2214,69.2,372,11.6,0,0.0,297,9.3,0,0.0,0,0.0,228,7.1,87,2.7,3005,94.0,193,6.0,1393,807,57.9,586,42.1,2.16,1472,1393,94.6,79,5.4,899,64.5,494,35.5,99,790,93.1,77.0,3066,129,4.2,76250,12.9,5.6,3129,916,29.3,984,772,432,14.1,24.1,30.8,0,0,41,70,96,119,322,251,694200.0,544,245,84,77,33,105,0,978.0,390,25,84,39,29,96,117,104,1769,1701,68,722,137,16,93,104,181,145,133,145,155,284,3.8,5.22,2.4,2.27,0,0,30.0,19.3,middle
50,91,4400,4400,53033004400,44.0,Census Tract 44,244.59580337,0,13317.898238264299,10654593.194870802,86,Census Tract 44,244.59678176,0.0,7314,25.3,5170,70.7,251,3.4,0,0.0,1082,14.8,0,0.0,0,0.0,249,3.4,562,7.7,6897,94.3,417,5.7,2686,732,27.3,1954,72.7,2.57,2868,2686,93.7,182,6.3,664,24.7,2022,75.3,292,1602,98.8,74.6,7154,302,4.2,56725,34.0,2.7,7099,3398,47.9,2144,423,1403,19.6,5.8,29.3,11,0,0,0,64,124,338,127,691100.0,454,177,79,61,18,119,0,1213.0,1960,288,232,205,108,197,930,62,5316,4940,376,1632,369,108,248,196,286,392,220,333,283,251,7.1,29.9,11.73,10.98,0,0,47.4,26.2,bottom
51,92,4500,4500,53033004500,45.0,Census Tract 45,165.79750953,0,11018.301532668898,7222139.51520506,82,Census Tract 45,165.79817272,0.0,3157,29.1,2497,79.1,29,0.9,16,0.5,371,11.8,0,0.0,0,0.0,153,4.8,91,2.9,3136,99.3,21,0.7,1024,545,53.2,479,46.8,3.06,1050,1024,97.5,26,2.5,659,64.4,365,35.6,110,1110,98.7,75.0,2961,42,1.4,108304,17.5,2.8,3123,781,25.0,660,461,330,11.1,14.6,20.9,15,0,6,0,9,155,437,37,612200.0,466,233,67,30,53,83,0,1925.0,357,52,15,51,115,23,101,8,2211,2121,90,498,30,0,34,39,59,150,146,241,89,236,4.1,19.04,6.33,6.18,0,0,28.3,17.8,top
